Date,Change in OI,Close,Expiry,High,Last,Low,Number of Contracts,Open,Open Interest,Settle Price,Symbol,Turnover,Underlying,Volume,expiry
2009-02-02,,2766.65,,2873.45,,2760.7,,2872.35,,,,51516700000.0,,235281717.0,2009-03-26
2009-02-03,,2783.9,,2831.7,,2752.9,,2773.5,,,,59010600000.00001,,256264668.0,2009-03-26
2009-02-04,,2803.05,,2842.2,,2780.7,,2780.7,,,,46738000000.0,,204148860.0,2009-03-26
2009-02-05,,2780.05,,2816.8,,2754.85,,2802.75,,,,41691300000.0,,178583516.0,2009-03-26
2009-02-06,,2843.1,,2852.5,,2778.65,,2779.35,,,,40008200000.0,,187961190.0,2009-03-26
2009-02-09,,2919.9,,2926.75,,2840.15,,2843.05,,,,44850400000.0,,186517519.0,2009-03-26
2009-02-10,,2934.5,,2957.4,,2891.75,,2919.7,,,,61226899999.99999,,302564116.0,2009-03-26
2009-02-11,,2925.7,,2937.5,,2877.6,,2933.0,,,,48985800000.0,,243376977.0,2009-03-26
2009-02-12,,2893.05,,2939.0,,2886.55,,2927.4,,,,43468900000.0,,214711779.0,2009-03-26
2009-02-13,,2948.35,,2969.75,,2896.85,,2896.95,,,,46816000000.0,,195741802.0,2009-03-26
2009-02-16,,2848.5,,2953.2,,2839.1,,2948.25,,,,50494100000.0,,246055796.0,2009-03-26
2009-02-17,,2770.5,,2854.65,,2757.3,,2853.85,,,,44959900000.0,,191473117.0,2009-03-26
2009-02-18,,2776.15,,2806.5,,2736.65,,2755.15,,,,49408900000.0,,214170731.0,2009-03-26
2009-02-19,,2789.35,,2802.15,,2767.6,,2776.7,,,,41629600000.0,,174587983.0,2009-03-26
2009-02-20,,2736.45,,2789.3,,2709.3,,2789.3,,,,38821700000.0,,154745737.0,2009-03-26
2009-02-24,,2733.9,,2746.2,,2677.55,,2737.25,,,,44071400000.0,,182727347.0,2009-03-26
2009-02-25,,2762.5,,2789.35,,2733.45,,2733.45,,,,43236700000.0,,176810272.0,2009-03-26
2009-02-26,,2785.65,,2797.8,,2731.9,,2762.2,,,,60464399999.99999,,250274333.0,2009-03-26
2009-02-27,,2763.65,,2787.2,,2708.45,,2785.7,,,,60844600000.0,,231597805.0,2009-03-26
2009-03-02,,2674.6,,2764.6,,2659.55,,2764.6,,,,46442100000.0,,194233262.0,2009-03-26
2009-03-03,,2622.4,,2688.5,,2611.55,,2672.15,,,,51810000000.0,,217640315.0,2009-03-26
2009-03-04,,2645.2,,2655.7,,2611.95,,2611.95,,,,53632500000.0,,202951378.0,2009-03-26
2009-03-05,,2576.7,,2663.9,,2564.1,,2645.9,,,,63197900000.0,,247491627.0,2009-03-26
2009-03-06,,2620.15,,2628.1,,2539.45,,2576.75,,,,63441200000.0,,242507546.0,2009-03-26
2009-03-09,,2573.15,,2621.25,,2555.6,,2620.1,,,,40480800000.0,,166405852.0,2009-03-26
2009-03-12,,2617.45,,2646.1,,2574.5,,2574.5,,,,59496300000.0,,213787846.0,2009-03-26
2009-03-13,,2719.25,,2726.15,,2616.6,,2616.6,,,,67950900000.0,,263891931.0,2009-03-26
2009-03-16,,2777.25,,2781.95,,2701.95,,2716.05,,,,60596400000.0,,263151493.0,2009-03-26
2009-03-17,,2757.45,,2805.6,,2738.7,,2776.35,,,,62244900000.0,,288783952.0,2009-03-26
2009-03-18,,2794.7,,2836.05,,2752.25,,2757.65,,,,61738600000.0,,261792179.0,2009-03-26
2009-03-19,,2807.15,,2822.25,,2771.35,,2797.05,,,,53940700000.0,,223408426.0,2009-03-26
2009-03-20,,2807.05,,2816.1,,2773.65,,2807.35,,,,50439600000.0,,186838911.0,2009-03-26
2009-03-23,,2939.9,,2949.75,,2807.25,,2807.25,,,,63047600000.0,,251175674.0,2009-03-26
2009-03-24,,2938.7,,3017.4,,2914.5,,2923.8,,,,88711200000.00002,,383117195.0,2009-03-26
2009-03-25,,2984.35,,2996.5,,2923.3,,2938.8,,,,85132600000.0,,383648320.0,2009-03-26
2009-03-26,,3082.25,,3103.35,,2982.25,,2982.25,,,,104180000000.0,,416183641.0,2009-03-26
2009-02-02,,2766.65,,2873.45,,2760.7,,2872.35,,,,51516700000.0,,235281717.0,2009-04-30
2009-02-03,,2783.9,,2831.7,,2752.9,,2773.5,,,,59010600000.00001,,256264668.0,2009-04-30
2009-02-04,,2803.05,,2842.2,,2780.7,,2780.7,,,,46738000000.0,,204148860.0,2009-04-30
2009-02-05,,2780.05,,2816.8,,2754.85,,2802.75,,,,41691300000.0,,178583516.0,2009-04-30
2009-02-06,,2843.1,,2852.5,,2778.65,,2779.35,,,,40008200000.0,,187961190.0,2009-04-30
2009-02-09,,2919.9,,2926.75,,2840.15,,2843.05,,,,44850400000.0,,186517519.0,2009-04-30
2009-02-10,,2934.5,,2957.4,,2891.75,,2919.7,,,,61226899999.99999,,302564116.0,2009-04-30
2009-02-11,,2925.7,,2937.5,,2877.6,,2933.0,,,,48985800000.0,,243376977.0,2009-04-30
2009-02-12,,2893.05,,2939.0,,2886.55,,2927.4,,,,43468900000.0,,214711779.0,2009-04-30
2009-02-13,,2948.35,,2969.75,,2896.85,,2896.95,,,,46816000000.0,,195741802.0,2009-04-30
2009-02-16,,2848.5,,2953.2,,2839.1,,2948.25,,,,50494100000.0,,246055796.0,2009-04-30
2009-02-17,,2770.5,,2854.65,,2757.3,,2853.85,,,,44959900000.0,,191473117.0,2009-04-30
2009-02-18,,2776.15,,2806.5,,2736.65,,2755.15,,,,49408900000.0,,214170731.0,2009-04-30
2009-02-19,,2789.35,,2802.15,,2767.6,,2776.7,,,,41629600000.0,,174587983.0,2009-04-30
2009-02-20,,2736.45,,2789.3,,2709.3,,2789.3,,,,38821700000.0,,154745737.0,2009-04-30
2009-02-24,,2733.9,,2746.2,,2677.55,,2737.25,,,,44071400000.0,,182727347.0,2009-04-30
2009-02-25,,2762.5,,2789.35,,2733.45,,2733.45,,,,43236700000.0,,176810272.0,2009-04-30
2009-02-26,,2785.65,,2797.8,,2731.9,,2762.2,,,,60464399999.99999,,250274333.0,2009-04-30
2009-02-27,,2763.65,,2787.2,,2708.45,,2785.7,,,,60844600000.0,,231597805.0,2009-04-30
2009-03-02,,2674.6,,2764.6,,2659.55,,2764.6,,,,46442100000.0,,194233262.0,2009-04-30
2009-03-03,,2622.4,,2688.5,,2611.55,,2672.15,,,,51810000000.0,,217640315.0,2009-04-30
2009-03-04,,2645.2,,2655.7,,2611.95,,2611.95,,,,53632500000.0,,202951378.0,2009-04-30
2009-03-05,,2576.7,,2663.9,,2564.1,,2645.9,,,,63197900000.0,,247491627.0,2009-04-30
2009-03-06,,2620.15,,2628.1,,2539.45,,2576.75,,,,63441200000.0,,242507546.0,2009-04-30
2009-03-09,,2573.15,,2621.25,,2555.6,,2620.1,,,,40480800000.0,,166405852.0,2009-04-30
2009-03-12,,2617.45,,2646.1,,2574.5,,2574.5,,,,59496300000.0,,213787846.0,2009-04-30
2009-03-13,,2719.25,,2726.15,,2616.6,,2616.6,,,,67950900000.0,,263891931.0,2009-04-30
2009-03-16,,2777.25,,2781.95,,2701.95,,2716.05,,,,60596400000.0,,263151493.0,2009-04-30
2009-03-17,,2757.45,,2805.6,,2738.7,,2776.35,,,,62244900000.0,,288783952.0,2009-04-30
2009-03-18,,2794.7,,2836.05,,2752.25,,2757.65,,,,61738600000.0,,261792179.0,2009-04-30
2009-03-19,,2807.15,,2822.25,,2771.35,,2797.05,,,,53940700000.0,,223408426.0,2009-04-30
2009-03-20,,2807.05,,2816.1,,2773.65,,2807.35,,,,50439600000.0,,186838911.0,2009-04-30
2009-03-23,,2939.9,,2949.75,,2807.25,,2807.25,,,,63047600000.0,,251175674.0,2009-04-30
2009-03-24,,2938.7,,3017.4,,2914.5,,2923.8,,,,88711200000.00002,,383117195.0,2009-04-30
2009-03-25,,2984.35,,2996.5,,2923.3,,2938.8,,,,85132600000.0,,383648320.0,2009-04-30
2009-03-26,,3082.25,,3103.35,,2982.25,,2982.25,,,,104180000000.0,,416183641.0,2009-04-30
2009-03-27,,3108.65,,3123.35,,3055.9,,3079.4,,,,85996500000.0,,326572500.0,2009-04-30
2009-03-30,,2978.15,,3110.2,,2962.4,,3108.75,,,,71002700000.0,,275780455.0,2009-04-30
2009-03-31,,3020.95,,3054.3,,2966.4,,2981.7,,,,90225200000.0,,341399212.0,2009-04-30
2009-04-01,,3060.35,,3069.3,,2965.7,,3023.85,,,,80111600000.0,,319442080.0,2009-04-30
2009-04-02,,3211.05,,3228.75,,3061.05,,3061.05,,,,95586700000.0,,370836234.0,2009-04-30
2009-04-06,,3256.6,,3303.9,,3211.35,,3211.35,,,,94994800000.0,,357065601.0,2009-04-30
2009-04-08,,3342.95,,3357.05,,3149.25,,3255.35,,,,111164200000.0,,409030235.0,2009-04-30
2009-04-09,,3342.05,,3401.15,,3307.05,,3346.0,,,,99842400000.0,,414637960.0,2009-04-30
2009-04-13,,3382.6,,3417.8,,3334.15,,3342.2,,,,83243500000.0,,331534301.0,2009-04-30
2009-04-15,,3484.15,,3497.55,,3311.8,,3381.45,,,,122802000000.0,,458489468.0,2009-04-30
2009-04-16,,3369.5,,3511.25,,3354.2,,3484.35,,,,132097800000.0,,559549931.0,2009-04-30
2009-04-17,,3384.4,,3489.85,,3359.25,,3369.5,,,,115046000000.0,,491159908.0,2009-04-30
2009-04-20,,3377.1,,3441.1,,3339.45,,3384.75,,,,88342200000.0,,341798670.0,2009-04-30
2009-04-21,,3365.3,,3414.7,,3309.35,,3376.85,,,,90695600000.0,,344667947.0,2009-04-30
2009-04-22,,3330.3,,3401.1,,3296.9,,3364.6,,,,79325100000.0,,327292987.0,2009-04-30
2009-04-23,,3423.7,,3439.9,,3310.5,,3330.5,,,,78645400000.0,,315691090.0,2009-04-30
2009-04-24,,3480.75,,3491.35,,3402.9,,3423.6,,,,86040400000.00002,,306127718.0,2009-04-30
2009-04-27,,3470.0,,3517.25,,3435.3,,3481.3,,,,90770600000.0,,315936295.0,2009-04-30
2009-04-28,,3362.35,,3471.95,,3351.5,,3469.5,,,,79043800000.0,,287134649.0,2009-04-30
2009-04-29,,3473.95,,3486.4,,3366.7,,3371.65,,,,97039400000.0,,483582317.0,2009-04-30
2009-03-02,,2674.6,,2764.6,,2659.55,,2764.6,,,,46442100000.0,,194233262.0,2009-05-28
2009-03-03,,2622.4,,2688.5,,2611.55,,2672.15,,,,51810000000.0,,217640315.0,2009-05-28
2009-03-04,,2645.2,,2655.7,,2611.95,,2611.95,,,,53632500000.0,,202951378.0,2009-05-28
2009-03-05,,2576.7,,2663.9,,2564.1,,2645.9,,,,63197900000.0,,247491627.0,2009-05-28
2009-03-06,,2620.15,,2628.1,,2539.45,,2576.75,,,,63441200000.0,,242507546.0,2009-05-28
2009-03-09,,2573.15,,2621.25,,2555.6,,2620.1,,,,40480800000.0,,166405852.0,2009-05-28
2009-03-12,,2617.45,,2646.1,,2574.5,,2574.5,,,,59496300000.0,,213787846.0,2009-05-28
2009-03-13,,2719.25,,2726.15,,2616.6,,2616.6,,,,67950900000.0,,263891931.0,2009-05-28
2009-03-16,,2777.25,,2781.95,,2701.95,,2716.05,,,,60596400000.0,,263151493.0,2009-05-28
2009-03-17,,2757.45,,2805.6,,2738.7,,2776.35,,,,62244900000.0,,288783952.0,2009-05-28
2009-03-18,,2794.7,,2836.05,,2752.25,,2757.65,,,,61738600000.0,,261792179.0,2009-05-28
2009-03-19,,2807.15,,2822.25,,2771.35,,2797.05,,,,53940700000.0,,223408426.0,2009-05-28
2009-03-20,,2807.05,,2816.1,,2773.65,,2807.35,,,,50439600000.0,,186838911.0,2009-05-28
2009-03-23,,2939.9,,2949.75,,2807.25,,2807.25,,,,63047600000.0,,251175674.0,2009-05-28
2009-03-24,,2938.7,,3017.4,,2914.5,,2923.8,,,,88711200000.00002,,383117195.0,2009-05-28
2009-03-25,,2984.35,,2996.5,,2923.3,,2938.8,,,,85132600000.0,,383648320.0,2009-05-28
2009-03-26,,3082.25,,3103.35,,2982.25,,2982.25,,,,104180000000.0,,416183641.0,2009-05-28
2009-03-27,,3108.65,,3123.35,,3055.9,,3079.4,,,,85996500000.0,,326572500.0,2009-05-28
2009-03-30,,2978.15,,3110.2,,2962.4,,3108.75,,,,71002700000.0,,275780455.0,2009-05-28
2009-03-31,,3020.95,,3054.3,,2966.4,,2981.7,,,,90225200000.0,,341399212.0,2009-05-28
2009-04-01,,3060.35,,3069.3,,2965.7,,3023.85,,,,80111600000.0,,319442080.0,2009-05-28
2009-04-02,,3211.05,,3228.75,,3061.05,,3061.05,,,,95586700000.0,,370836234.0,2009-05-28
2009-04-06,,3256.6,,3303.9,,3211.35,,3211.35,,,,94994800000.0,,357065601.0,2009-05-28
2009-04-08,,3342.95,,3357.05,,3149.25,,3255.35,,,,111164200000.0,,409030235.0,2009-05-28
2009-04-09,,3342.05,,3401.15,,3307.05,,3346.0,,,,99842400000.0,,414637960.0,2009-05-28
2009-04-13,,3382.6,,3417.8,,3334.15,,3342.2,,,,83243500000.0,,331534301.0,2009-05-28
2009-04-15,,3484.15,,3497.55,,3311.8,,3381.45,,,,122802000000.0,,458489468.0,2009-05-28
2009-04-16,,3369.5,,3511.25,,3354.2,,3484.35,,,,132097800000.0,,559549931.0,2009-05-28
2009-04-17,,3384.4,,3489.85,,3359.25,,3369.5,,,,115046000000.0,,491159908.0,2009-05-28
2009-04-20,,3377.1,,3441.1,,3339.45,,3384.75,,,,88342200000.0,,341798670.0,2009-05-28
2009-04-21,,3365.3,,3414.7,,3309.35,,3376.85,,,,90695600000.0,,344667947.0,2009-05-28
2009-04-22,,3330.3,,3401.1,,3296.9,,3364.6,,,,79325100000.0,,327292987.0,2009-05-28
2009-04-23,,3423.7,,3439.9,,3310.5,,3330.5,,,,78645400000.0,,315691090.0,2009-05-28
2009-04-24,,3480.75,,3491.35,,3402.9,,3423.6,,,,86040400000.00002,,306127718.0,2009-05-28
2009-04-27,,3470.0,,3517.25,,3435.3,,3481.3,,,,90770600000.0,,315936295.0,2009-05-28
2009-04-28,,3362.35,,3471.95,,3351.5,,3469.5,,,,79043800000.0,,287134649.0,2009-05-28
2009-04-29,,3473.95,,3486.4,,3366.7,,3371.65,,,,97039400000.0,,483582317.0,2009-05-28
2009-05-04,,3654.0,,3664.5,,3478.7,,3478.7,,,,101127600000.0,,363866099.0,2009-05-28
2009-05-05,,3661.9,,3682.2,,3618.75,,3664.5,,,,112367900000.00002,,442066443.0,2009-05-28
2009-05-06,,3625.05,,3717.05,,3608.65,,3662.0,,,,115592000000.0,,408101644.0,2009-05-28
2009-05-07,,3683.9,,3692.05,,3617.15,,3617.15,,,,88277200000.0,,326304598.0,2009-05-28
2009-05-08,,3620.7,,3711.25,,3582.85,,3681.8,,,,85294000000.0,,291694964.0,2009-05-28
2009-05-11,,3554.6,,3660.2,,3534.55,,3615.75,,,,78587800000.0,,285340638.0,2009-05-28
2009-05-12,,3681.1,,3691.65,,3534.2,,3554.65,,,,95504900000.0,,366055503.0,2009-05-28
2009-05-13,,3635.25,,3709.6,,3610.2,,3668.75,,,,98001500000.0,,360452738.0,2009-05-28
2009-05-14,,3593.45,,3631.9,,3537.6,,3631.9,,,,81387900000.0,,288154287.0,2009-05-28
2009-05-15,,3671.65,,3686.25,,3597.85,,3597.85,,,,86552400000.0,,300880814.0,2009-05-28
2009-05-18,,4323.15,,4384.3,,3673.15,,3673.15,,,,1139900000.0,,2768292.0,2009-05-28
2009-05-19,,4318.45,,4509.4,,4167.65,,4324.95,,,,260022599999.99997,,670982325.0,2009-05-28
2009-05-20,,4270.3,,4362.85,,4244.7,,4318.75,,,,169176300000.0,,471343167.0,2009-05-28
2009-05-21,,4210.9,,4319.0,,4199.2,,4270.35,,,,122900300000.0,,353070384.0,2009-05-28
2009-05-22,,4238.5,,4249.5,,4155.85,,4211.85,,,,105729700000.0,,284165388.0,2009-05-28
2009-05-25,,4237.55,,4270.05,,4205.1,,4238.1,,,,91046200000.00002,,299302991.0,2009-05-28
2009-05-26,,4116.7,,4256.05,,4092.25,,4239.55,,,,95017099999.99998,,308739530.0,2009-05-28
2009-05-27,,4276.05,,4286.45,,4115.25,,4117.3,,,,121733500000.0,,353499631.0,2009-05-28
