Date,Open,High,Low,Close,Volume,Turnover,Symbol,Expiry,Last,Settle Price,Number of Contracts,Open Interest,Change in OI,Underlying
2007-08-01,4528.85,4532.9,4339.75,4345.85,104901731.0,62637000000.0,,,,,,,,
2007-08-02,4356.35,4399.75,4327.0,4356.35,71160531.0,42471800000.0,,,,,,,,
2007-08-03,4355.75,4428.1,4355.75,4401.55,63323143.0,35275300000.0,,,,,,,,
2007-08-06,4404.05,4404.05,4267.15,4339.5,64266652.0,39474600000.0,,,,,,,,
2007-08-07,4341.5,4406.4,4341.5,4356.35,62908203.0,39067400000.0,,,,,,,,
2007-08-08,4357.0,4472.15,4356.75,4462.1,68516647.0,45767500000.0,,,,,,,,
2007-08-09,4462.25,4530.05,4390.8,4403.2,79104231.0,46757100000.0,,,,,,,,
2007-08-10,4393.6,4395.5,4239.2,4333.35,83430243.0,49700700000.0,,,,,,,,
2007-08-13,4324.65,4383.8,4324.65,4373.65,49978808.0,28593500000.0,,,,,,,,
2007-08-14,4373.9,4394.3,4354.35,4370.2,43545272.0,22914200000.0,,,,,,,,
2007-08-16,4366.0,4366.0,4171.15,4178.6,97455252.0,56474000000.0,,,,,,,,
2007-08-17,4171.1,4171.1,4002.2,4108.05,136745082.0,78905200000.0,,,,,,,,
2007-08-20,4108.95,4262.6,4108.95,4209.05,68848163.0,41441800000.0,,,,,,,,
2007-08-21,4209.55,4238.1,4058.55,4074.9,76222185.0,46030800000.0,,,,,,,,
2007-08-22,4081.25,4165.7,4040.15,4153.15,88280495.0,48509399999.99999,,,,,,,,
2007-08-23,4160.1,4249.85,4100.8,4114.95,94064917.0,50646700000.0,,,,,,,,
2007-08-24,4113.05,4201.45,4110.05,4190.15,63207503.0,34940200000.0,,,,,,,,
2007-08-27,4193.6,4310.0,4193.6,4302.6,63334364.0,36287500000.0,,,,,,,,
2007-08-28,4302.4,4329.15,4280.6,4320.7,64161720.0,37637800000.0,,,,,,,,
2007-08-29,4317.7,4368.6,4226.35,4359.3,86795180.0,49485700000.0,,,,,,,,
2007-08-30,4360.35,4422.3,4359.75,4412.3,129235436.0,68761600000.0,,,,,,,,
2007-08-31,4412.6,4471.3,4403.0,4464.0,84522020.0,45067900000.0,,,,,,,,
2007-09-03,4466.65,4490.55,4452.4,4474.75,82426744.0,36848200000.0,,,,,,,,
2007-09-04,4481.55,4501.3,4460.4,4479.25,72596442.0,38034600000.0,,,,,,,,
2007-09-05,4479.6,4507.75,4458.55,4475.85,74049046.0,42537500000.0,,,,,,,,
2007-09-06,4475.7,4522.5,4445.55,4518.6,60723408.0,32697700000.0,,,,,,,,
2007-09-07,4518.65,4547.75,4499.9,4509.5,58007769.0,32441500000.0,,,,,,,,
2007-09-10,4506.85,4515.25,4452.95,4507.85,68954773.0,29454200000.0,,,,,,,,
2007-09-11,4509.65,4538.6,4487.15,4497.05,80407538.0,37456500000.0,,,,,,,,
2007-09-12,4498.65,4531.5,4490.4,4496.85,67387402.0,36650200000.0,,,,,,,,
2007-09-13,4498.05,4540.6,4498.05,4528.95,59367856.0,38067900000.0,,,,,,,,
2007-09-14,4530.0,4582.6,4508.85,4518.0,71396061.0,41065600000.00001,,,,,,,,
2007-09-17,4518.45,4549.05,4482.85,4494.65,51303287.0,30017300000.0,,,,,,,,
2007-09-18,4494.1,4551.8,4481.55,4546.2,56445958.0,37395500000.0,,,,,,,,
2007-09-19,4550.25,4739.0,4550.25,4732.35,108516311.0,65347100000.0,,,,,,,,
2007-09-20,4734.85,4760.85,4721.15,4747.55,94397108.0,52162200000.0,,,,,,,,
2007-09-21,4752.95,4855.7,4733.7,4837.55,162157477.0,63375400000.0,,,,,,,,
2007-09-24,4837.15,4941.15,4837.15,4932.2,163303253.0,78613100000.0,,,,,,,,
2007-09-25,4939.1,4953.9,4878.15,4938.85,141397062.0,67560000000.0,,,,,,,,
2007-09-26,4937.6,4980.85,4930.35,4940.5,117795116.0,62739399999.99999,,,,,,,,
2007-09-27,4942.7,5016.4,4942.7,5000.55,172282571.0,96153200000.0,,,,,,,,
2007-08-01,4528.85,4532.9,4339.75,4345.85,104901731.0,62637000000.0,,,,,,,,
2007-08-02,4356.35,4399.75,4327.0,4356.35,71160531.0,42471800000.0,,,,,,,,
2007-08-03,4355.75,4428.1,4355.75,4401.55,63323143.0,35275300000.0,,,,,,,,
2007-08-06,4404.05,4404.05,4267.15,4339.5,64266652.0,39474600000.0,,,,,,,,
2007-08-07,4341.5,4406.4,4341.5,4356.35,62908203.0,39067400000.0,,,,,,,,
2007-08-08,4357.0,4472.15,4356.75,4462.1,68516647.0,45767500000.0,,,,,,,,
2007-08-09,4462.25,4530.05,4390.8,4403.2,79104231.0,46757100000.0,,,,,,,,
2007-08-10,4393.6,4395.5,4239.2,4333.35,83430243.0,49700700000.0,,,,,,,,
2007-08-13,4324.65,4383.8,4324.65,4373.65,49978808.0,28593500000.0,,,,,,,,
